"Mix.1","Mix.2","Mix.3","Mix.4","Mix.5","Mix.6","Mix.7","Mix.8"
15.6962370048697,3.57173585442503,61.0565574388414,25.0929504896596,103.231528840825,102.106320245591,86.8526254228122,27.8603732441153
11.1763441392491,9.47149554530035,62.998433910184,31.8232612399437,92.9304592043589,92.7815574821306,85.7998054862087,37.6953841348429
12.5309399214998,10.5145615474384,70.6374585314425,30.9537178789026,90.9274742647157,90.7720441613161,83.2474575448836,35.3727090374116
15.7272519755774,7.01896886991832,59.2079332175312,27.8406012055238,108.356459444926,107.901026715785,95.73593550957,35.5515933935555
13.6581402697339,8.2219700572865,59.8630869616993,29.9613796613479,102.571768207604,102.330990842958,92.0001069059932,36.0179712661011
13.4326141711965,10.0719125191912,56.4235248814003,27.9771415163425,75.5379413369924,75.5363133994881,70.7449511809649,32.5969564447825
12.1695322294679,10.8676282258942,74.662176728393,32.0087791347731,106.987477499755,106.800829717904,95.0250445871114,35.558018980276
14.1186812437424,7.65029651868443,61.6551737994543,26.5882745282753,98.3906128479789,98.0924503588016,85.6382251663656,29.7968975747534
11.2679984880749,4.09768037071465,82.7196378039133,35.5997034287303,114.578805407508,113.458865648939,103.678849799167,42.9615307376231
11.2727882089317,4.32066226770021,43.9372555780431,22.7641386949633,102.843206954219,102.074028455604,89.422441034149,31.5835895130176
15.9120786466597,9.59823377504617,77.8555462567342,33.3968801915693,116.586125713422,116.075067401523,105.542223217168,44.0016555357383
12.0233024213096,7.66357495023376,66.7419078032842,29.6554439222291,85.4815536825219,85.3537841977369,79.2953513326135,35.4682534728885
13.7548795611546,5.12908947613167,79.0082199718662,36.2165386808801,77.3104434705899,77.1210162064855,74.2915148750973,41.8127742426793
14.0483459023951,7.31858819815985,55.6768393448616,23.9525115251191,95.1671597444836,94.8391555422611,80.2682100038197,25.9350818219054
11.2817031530625,9.8502474730971,78.1579615535309,33.70101447366,109.933929874766,109.624003544288,99.8003164625586,41.7110255887625
15.3343342603965,8.75762721398751,72.4643204625694,32.6912191716983,89.5916442058021,89.4657968325167,83.1844624109035,37.99160383828
17.5338675565551,6.55474206808788,70.2370248075929,31.1958117784773,104.546129222154,104.047587827112,93.2160884429639,36.3784824989779
14.9579219022306,10.878562652335,55.0968726029483,28.5137804049126,99.9914057541466,99.8612580426901,91.1658848688018,38.2746723775466
14.9025694158183,6.70763542519069,65.1097147195078,27.9281315608812,90.3357475666958,90.0539423685959,80.7697686397224,30.8997293455258
12.1871489685964,11.2616814997361,84.5603113307028,37.2587243892347,102.429592179844,102.298862437259,94.6844320071361,42.9590747438444
13.4201963557554,6.49334434179966,59.1108259278932,27.4837917182875,99.6893334026574,99.3091634379521,88.8910326268416,33.9846927944976
14.3722606505949,11.8144209343438,77.3206952601798,34.8449468497691,96.1005097099181,95.9609772424706,89.8395686854356,42.4368573114366
